availability_30,availability_60,availability_90,availability_365
0,0,0,0
0,0,0,0
0,0,0,0
9,9,9,9
5,6,22,39
30,60,90,365
11,12,12,48
30,60,90,143
21,51,78,346
6,20,50,177
0,0,0,0
4,9,26,217
4,6,11,40
0,0,0,264
3,15,26,234
4,9,23,261
5,17,32,306
0,0,0,0
30,60,90,365
0,0,3,5
12,12,12,119
2,8,8,8
12,29,39,111
5,35,65,297
2,6,11,29
5,30,60,335
0,0,0,0
0,0,0,0
27,57,87,88
27,57,87,88
6,16,40,315
30,60,90,164
0,0,0,0
0,0,0,0
0,0,0,0
18,40,51,299
29,59,89,364
18,38,57,235
0,0,0,0
18,25,37,37
23,53,83,348
30,44,70,70
30,60,90,365
0,0,0,0
17,47,77,77
5,35,65,156
10,31,57,203
20,50,72,347
0,0,0,33
6,11,11,141
4,6,11,172
0,0,0,0
25,55,82,107
0,30,46,254
0,0,0,0
4,34,64,154
21,44,67,201
0,0,0,0
29,59,89,179
27,57,87,362
9,14,16,65
23,53,83,83
0,0,0,0
0,0,0,0
0,0,0,0
10,40,48,107
29,59,89,89
12,18,33,114
0,0,0,0
29,59,89,364
9,23,46,252
29,51,81,356
14,44,74,246
0,0,0,0
11,20,20,20
0,0,0,0
0,0,0,262
3,13,30,75
30,60,87,351
28,58,83,357
0,0,0,250
30,60,90,365
